2021 super output area - lower layer,mnemonic,Total,%,Aged 4 years and under,%,Aged 5 to 9 years,%,Aged 10 to 14 years,%,Aged 15 to 19 years,%,Aged 20 to 24 years,%,Aged 25 to 29 years,%,Aged 30 to 34 years,%,Aged 35 to 39 years,%,Aged 40 to 44 years,%,Aged 45 to 49 years,%,Aged 50 to 54 years,%,Aged 55 to 59 years,%,Aged 60 to 64 years,%,Aged 65 to 69 years,%,Aged 70 to 74 years,%,Aged 75 to 79 years,%,Aged 80 to 84 years,%,Aged 85 years and over,%
Newcastle upon Tyne 002A,E01008309,1786,100,88,4.9,91,5.1,116,6.5,81,4.5,56,3.1,62,3.5,87,4.9,108,6,114,6.4,96,5.4,104,5.8,132,7.4,113,6.3,133,7.4,125,7,93,5.2,71,4,116,6.5
Newcastle upon Tyne 002C,E01008352,1440,100,63,4.4,85,5.9,119,8.3,75,5.2,68,4.7,106,7.4,91,6.3,114,7.9,100,6.9,98,6.8,95,6.6,103,7.2,80,5.6,61,4.2,58,4,43,3,35,2.4,46,3.2
Newcastle upon Tyne 002D,E01008357,1525,100,64,4.2,82,5.4,78,5.1,52,3.4,50,3.3,56,3.7,61,4,70,4.6,80,5.2,69,4.5,102,6.7,113,7.4,128,8.4,160,10.5,144,9.4,92,6,57,3.7,67,4.4
Newcastle upon Tyne 002E,E01008358,1707,100,68,4,63,3.7,75,4.4,52,3,134,7.9,263,15.4,155,9.1,135,7.9,108,6.3,91,5.3,69,4,87,5.1,89,5.2,76,4.5,96,5.6,64,3.7,44,2.6,38,2.2
Newcastle upon Tyne 002F,E01033550,2054,100,98,4.8,172,8.4,213,10.4,162,7.9,73,3.6,68,3.3,88,4.3,108,5.3,182,8.9,215,10.5,211,10.3,145,7.1,107,5.2,74,3.6,54,2.6,37,1.8,31,1.5,16,0.8
Newcastle upon Tyne 002G,E01033551,1829,100,90,4.9,94,5.1,101,5.5,75,4.1,56,3.1,82,4.5,123,6.7,114,6.2,118,6.5,105,5.7,129,7.1,121,6.6,135,7.4,126,6.9,115,6.3,109,6,65,3.6,71,3.9
Newcastle upon Tyne 003A,E01008336,1328,100,59,4.4,71,5.3,95,7.2,58,4.4,91,6.9,90,6.8,89,6.7,78,5.9,80,6,89,6.7,100,7.5,94,7.1,88,6.6,66,5,60,4.5,45,3.4,38,2.9,37,2.8
Newcastle upon Tyne 003B,E01008337,1304,100,57,4.4,83,6.4,118,9,80,6.1,76,5.8,61,4.7,58,4.4,84,6.4,86,6.6,76,5.8,73,5.6,102,7.8,96,7.4,75,5.8,62,4.8,38,2.9,41,3.1,38,2.9
Newcastle upon Tyne 003C,E01008338,1128,100,54,4.8,78,6.9,63,5.6,78,6.9,63,5.6,78,6.9,73,6.5,75,6.6,72,6.4,67,5.9,81,7.2,89,7.9,79,7,62,5.5,49,4.3,34,3,20,1.8,13,1.2
Newcastle upon Tyne 003D,E01008339,1842,100,104,5.6,118,6.4,123,6.7,123,6.7,175,9.5,120,6.5,189,10.3,137,7.4,109,5.9,96,5.2,100,5.4,129,7,96,5.2,84,4.6,49,2.7,36,2,27,1.5,27,1.5
Newcastle upon Tyne 003E,E01008340,1751,100,102,5.8,125,7.1,154,8.8,142,8.1,89,5.1,123,7,131,7.5,117,6.7,103,5.9,165,9.4,91,5.2,99,5.7,89,5.1,73,4.2,42,2.4,29,1.7,32,1.8,45,2.6
Newcastle upon Tyne 003F,E01008341,1412,100,75,5.3,72,5.1,92,6.5,72,5.1,78,5.5,102,7.2,95,6.7,75,5.3,78,5.5,75,5.3,104,7.4,95,6.7,137,9.7,61,4.3,64,4.5,57,4,27,1.9,53,3.8
Newcastle upon Tyne 003G,E01008342,1330,100,42,3.2,48,3.6,53,4,42,3.2,63,4.7,75,5.6,75,5.6,62,4.7,74,5.6,68,5.1,90,6.8,109,8.2,124,9.3,100,7.5,114,8.6,68,5.1,60,4.5,63,4.7
Newcastle upon Tyne 004A,E01008293,1376,100,66,4.8,53,3.9,60,4.4,62,4.5,80,5.8,102,7.4,98,7.1,77,5.6,83,6,76,5.5,95,6.9,95,6.9,124,9,120,8.7,93,6.8,43,3.1,28,2,21,1.5
Newcastle upon Tyne 004B,E01008456,1521,100,96,6.3,116,7.6,103,6.8,99,6.5,93,6.1,117,7.7,90,5.9,103,6.8,80,5.3,91,6,95,6.2,113,7.4,109,7.2,58,3.8,40,2.6,33,2.2,48,3.2,37,2.4
Newcastle upon Tyne 004C,E01008457,1588,100,104,6.5,96,6,91,5.7,74,4.7,69,4.3,100,6.3,103,6.5,97,6.1,82,5.2,89,5.6,109,6.9,109,6.9,152,9.6,90,5.7,71,4.5,44,2.8,41,2.6,67,4.2
Newcastle upon Tyne 004D,E01008458,2133,100,110,5.2,115,5.4,96,4.5,90,4.2,78,3.7,158,7.4,139,6.5,142,6.7,149,7,129,6,149,7,171,8,151,7.1,98,4.6,130,6.1,88,4.1,61,2.9,79,3.7
Newcastle upon Tyne 004E,E01008459,1870,100,156,8.3,215,11.5,137,7.3,121,6.5,109,5.8,133,7.1,144,7.7,169,9,88,4.7,109,5.8,108,5.8,98,5.2,73,3.9,62,3.3,47,2.5,30,1.6,34,1.8,37,2
Newcastle upon Tyne 004F,E01008460,1402,100,84,6,103,7.3,85,6.1,81,5.8,92,6.6,78,5.6,117,8.3,76,5.4,66,4.7,71,5.1,97,6.9,114,8.1,90,6.4,75,5.3,58,4.1,50,3.6,34,2.4,31,2.2
Newcastle upon Tyne 005A,E01008351,1393,100,80,5.7,77,5.5,57,4.1,55,3.9,50,3.6,75,5.4,97,7,101,7.3,98,7,90,6.5,81,5.8,93,6.7,97,7,83,6,91,6.5,61,4.4,56,4,51,3.7
Newcastle upon Tyne 005B,E01008354,1621,100,83,5.1,104,6.4,109,6.7,71,4.4,75,4.6,147,9.1,117,7.2,144,8.9,126,7.8,93,5.7,119,7.3,131,8.1,68,4.2,84,5.2,53,3.3,36,2.2,31,1.9,30,1.9
Newcastle upon Tyne 005C,E01008418,1958,100,101,5.2,106,5.4,98,5,86,4.4,84,4.3,107,5.5,114,5.8,109,5.6,120,6.1,139,7.1,136,6.9,134,6.8,133,6.8,126,6.4,145,7.4,76,3.9,52,2.7,92,4.7
Newcastle upon Tyne 005D,E01008420,1306,100,66,5.1,61,4.7,72,5.5,77,5.9,76,5.8,52,4,55,4.2,64,4.9,68,5.2,86,6.6,93,7.1,108,8.3,100,7.7,90,6.9,71,5.4,51,3.9,47,3.6,69,5.3
Newcastle upon Tyne 005E,E01008422,1561,100,96,6.1,72,4.6,67,4.3,69,4.4,222,14.2,106,6.8,120,7.7,95,6.1,81,5.2,92,5.9,94,6,81,5.2,76,4.9,93,6,64,4.1,49,3.1,30,1.9,54,3.5
