LSOA21CD,med_price_dec_21
E01011949,101500.0
E01011950,50159.0
E01011951,60000.0
E01011952,80000.0
E01011953,92500.0
E01011954,115500.0
E01011955,69000.0
E01011957,64125.0
E01011959,354950.0
E01011960,169995.0
E01011961,122500.0
E01011962,165000.0
E01011963,145000.0
E01011964,170000.0
E01011965,232500.0
E01011966,155000.0
E01011967,130000.0
E01011968,142750.0
E01011969,125000.0
E01011970,172725.0
E01011971,166000.0
E01011973,36000.0
E01011974,98750.0
E01011975,55000.0
E01011976,57640.0
E01011977,88750.0
E01011978,95500.0
E01011979,90000.0
E01011980,84125.0
E01011981,84000.0
E01011982,355000.0
E01011983,284995.0
E01011984,140500.0
E01011985,128000.0
E01011986,108000.0
E01011987,76950.0
E01011988,140000.0
E01011989,129950.0
E01011990,122000.0
E01011991,133000.0
E01011992,119225.0
E01011993,96000.0
E01011994,59279.0
E01011995,145000.0
E01011996,109000.0
E01011997,187500.0
E01011998,177500.0
E01011999,54000.0
E01012000,132000.0
E01012001,105000.0
E01012002,119000.0
E01012003,187046.0
E01012005,220000.0
E01032540,120000.0
E01032541,106000.0
E01033465,176000.0
E01033466,75000.0
E01033467,150000.0
E01012007,145000.0
E01012008,151000.0
E01012009,125000.0
E01012010,200000.0
E01012011,123995.0
E01012012,121000.0
E01012013,92375.0
E01012014,82500.0
E01012015,93000.0
E01012016,84500.0
E01012017,111250.0
E01012018,125000.0
E01012019,
E01012020,95000.0
E01012021,79000.0
E01012022,252498.0
E01012023,179950.0
E01012024,138000.0
E01012025,148000.0
E01012026,125000.0
E01012027,100000.0
E01012030,150000.0
E01012031,120000.0
E01012032,215000.0
E01012033,118750.0
E01012034,197627.0
E01012035,136500.0
E01012036,49500.0
E01012037,45000.0
E01012038,51000.0
E01012039,48750.0
E01012040,52500.0
E01012041,70000.0
E01012042,115000.0
E01012043,142000.0
E01012044,80750.0
E01012045,
E01012046,170000.0
E01012047,161000.0
E01012048,157500.0
E01012049,145000.0
E01012050,72400.0
E01012051,100000.0
E01012052,194500.0
E01012053,167000.0
E01012054,120000.0
E01012055,166250.0
E01012056,100000.0
E01012057,110000.0
E01012058,56599.0
E01012059,65975.0
E01012060,76500.0
E01012061,64000.0
E01012062,207500.0
E01012063,168000.0
E01012064,182995.0
E01012065,240000.0
E01012066,220000.0
E01012067,245000.0
E01012068,47500.0
E01012071,298125.0
E01012073,197497.0
E01012074,80000.0
E01012075,67500.0
E01012076,65000.0
E01012077,87250.0
E01012078,70000.0
E01012079,114000.0
E01012080,120000.0
E01012081,113500.0
E01012082,92000.0
E01012083,83000.0
E01012084,78500.0
E01012085,78500.0
E01012088,105000.0
E01012089,74000.0
E01012090,122995.0
E01012091,83000.0
E01012092,63000.0
E01012093,57000.0
E01012094,106500.0
E01032552,184000.0
E01032553,185950.0
E01032593,364995.0
E01033468,70000.0
E01033469,200000.0
E01012095,175000.0
E01012096,67000.0
E01012097,135000.0
E01012098,131500.0
E01012099,73000.0
E01012100,108000.0
E01012101,106250.0
E01012102,78500.0
E01012105,129500.0
E01012106,118475.0
E01012107,100000.0
E01012108,68750.0
E01012109,122250.0
E01012110,98500.0
E01012111,100500.0
E01012112,
E01012113,62500.0
E01012114,64395.0
E01012117,180000.0
E01012118,98000.0
E01012119,167500.0
E01012120,164000.0
E01012121,94900.0
E01012124,267500.0
E01012127,
E01012128,84975.0
